"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"14/09/2010","TOTAL","8.51","6.80","8.51","8.50","0.00","8.51","0","8.65","","0.00",""
"13/09/2010","TOTAL","8.51","6.80","8.51","8.50","0.00","8.51","0","8.65","","0.00",""
"09/09/2010","TOTAL","8.51","6.80","8.51","8.50","0.00","8.51","0","8.70","","0.00",""
"08/09/2010","TOTAL","8.51","6.80","8.51","8.50","0.00","8.51","0","8.65","","0.00",""
"07/09/2010","TOTAL","8.51","6.80","8.51","8.50","0.00","8.51","0","8.66","","0.00",""
"06/09/2010","TOTAL","8.51","6.80","8.51","8.50","0.00","8.51","0","8.67","","0.00",""
"03/09/2010","TOTAL","8.51","6.80","8.50","8.50","0.00","8.51","0.01","8.65","","300.00",""
"02/09/2010","TOTAL","8.50","6.80","8.45","8.45","0.00","8.50","0.05","8.50","","100.00",""
"01/09/2010","TOTAL","8.30","6.80","8.45","8.30","0.00","8.45","0","8.60","8.70","0.00",""
"31/08/2010","TOTAL","8.30","6.80","8.45","8.30","0.00","8.45","0","8.50","8.80","0.00",""
"30/08/2010","TOTAL","8.30","6.80","8.45","8.30","0.00","8.45","0","8.50","","0.00",""
"27/08/2010","TOTAL","8.30","6.80","8.45","8.30","0.00","8.45","0","8.50","9.00","0.00",""
"26/08/2010","TOTAL","8.30","6.80","8.45","8.30","0.00","8.45","0","","","0.00",""
"25/08/2010","TOTAL","8.30","6.80","8.45","8.30","0.00","8.45","0","8.45","","0.00",""
"24/08/2010","TOTAL","8.30","6.80","8.30","8.30","0.00","8.45","0.15","8.45","","1,000.00",""
"23/08/2010","TOTAL","8.30","6.80","8.30","8.25","0.00","8.30","0","8.40","","0.00",""
"20/08/2010","TOTAL","8.30","6.80","8.30","8.25","0.00","8.30","0","8.40","","0.00",""
"19/08/2010","TOTAL","8.30","6.80","8.30","8.25","0.00","8.30","0","8.30","","0.00",""
"18/08/2010","TOTAL","8.30","6.80","8.30","8.25","0.00","8.30","0","8.30","","0.00",""
"17/08/2010","TOTAL","8.30","6.80","8.30","8.25","0.00","8.30","0","8.30","","0.00",""
"16/08/2010","TOTAL","8.30","6.80","8.30","8.25","0.00","8.30","0","","","500.00",""
